iso_a2,latitude,longitude,accuracy
CM,5.663095287992696,12.611551546501774,100
TG,8.439541954669616,0.9964039436703582,100
GH,7.928651813099648,-1.2369685557063992,100
CI,7.5537550070104915,-5.6120436452252225,100
GN,10.44827287727134,-11.060853741185456,100
GW,12.022704382325685,-15.110623751667879,100
LR,6.431619862252993,-9.410836154371117,100
SL,8.53035372615305,-11.795257428559948,100
BF,12.311650494136712,-1.77653745205594,100
CF,6.5427787059213145,20.374347291243915,100
CG,-0.8378010872252886,15.13446176741353,100
GA,-0.6470481398040288,11.687751174902044,100
GQ,1.6458643199600753,10.366031325064027,100
ZM,-13.395067553524187,27.727591918760577,100
MW,-13.172834992341919,34.193605326922366,100
MZ,-17.230448975659677,35.47261597864435,100
SZ,-26.48985528852001,31.39525590206532,100
AO,-12.245869036133188,17.47057255231345,100
BI,-3.3773910753554657,29.91389229542573,100
IL,31.4849193900197,35.003851206429005,100
LB,33.91182720781994,35.87098632001643,100
MG,-19.356114077828778,46.69117091471639,100
PS,31.94113662241515,35.27331962289024,100
GM,13.47533435870166,-15.431872807730837,100
TN,34.172939036882376,9.534716120695835,100
DZ,28.185481278657537,2.5980477916183444,100
JO,31.245490584748417,36.77945490632519,100
AE,23.86863365334761,54.20671476159633,100
QA,25.32185097420669,51.1835025789133,100
KW,29.307266634033564,47.600098887626416,100
IQ,33.03682096372491,43.75691096461423,100
OM,20.611174374229545,56.09867281997542,100
VU,-15.542677057554924,167.07375126822674,100
KH,12.684728629393506,104.87608532525192,100
TH,15.01697499141648,101.00613354626108,100
LA,18.444978089036088,103.75025989504465,100
MM,21.016999873773827,96.50584094206161,100
VN,16.657937753254938,106.28584079705195,100
KP,40.14302033650109,127.16501590888976,100
KR,36.42759860415487,127.8213171283307,100
MN,46.82368112626357,102.94640620846634,100
IN,22.92500640740852,79.59370376325381,100
BD,23.83946179534406,90.26792827719598,100
BT,27.427968649102027,90.4724248062037,100
NP,28.23944001904935,84.01317367692529,100
PK,29.973460025547393,69.41399806318127,100
AF,33.85639928169076,66.08669022192831,100
TJ,38.58308146421082,71.03443504896113,100
KG,41.50689371318262,74.62040481092558,100
TM,39.09124018017583,59.27543026236141,100
IR,32.51891731762539,54.285451496891426,100
SY,35.012614281129,38.54423941961137,100
AM,40.21660761230143,45.00029001101479,100
SE,62.811484968080336,16.59626584684802,100
BY,53.50634479481114,27.98135261544803,100
UA,49.14882260840351,31.229122070266495,100
PL,52.14826021933187,19.31101430844868,100
AT,47.6139487927463,14.076158884337072,100
HU,47.19995117195427,19.357628627745918,100
MD,47.20367642606752,28.41048279080328,100
RO,45.857101035738005,24.943252494635377,100
LT,55.284319484766066,23.88064027584349,100
LV,56.80717513427924,24.833296149803438,100
EE,58.643695426630906,25.824725613026608,100
DE,51.13372269040778,10.288485092742851,100
BG,42.7531187620217,25.19511095327711,100
GR,39.066715899713955,22.719813447095053,100
TR,39.06837194061471,35.116900150938406,100
AL,41.141353306048785,20.03242643144321,100
HR,45.01623399593114,16.566189771645533,100
CH,46.79173768366762,8.118300613385486,100
LU,49.76570507415103,5.965223432343999,100
BE,50.65244095902296,4.580834113854935,100
NL,52.298700374441786,5.512217100965399,100
PT,39.63404977497817,-8.055765588295687,100
ES,40.348656106226734,-3.6170206023873743,100
IE,53.18059120995006,-8.010236544877012,100
NC,-21.26135761252651,165.53447460087543,100
SB,-8.852497470848528,159.9666154474296,100
NZ,-41.662578757158684,172.70192594405574,100
AU,-25.730654779726077,134.50277547536595,100
LK,7.700534417248105,80.66723574931648,100
CN,36.555066531858685,103.88361230063249,100
TW,23.740964979784938,120.97480073748623,100
IT,42.751183052964265,12.140788372235871,100
DK,56.06393446179454,9.876372937675002,100
GB,53.91477348053706,-2.8531353951805545,100
IS,65.07427633529105,-18.761028770831768,100
AZ,40.22069054766167,47.553909558006055,100
GE,42.16201501415301,43.48154265409026,100
PH,11.763799362297663,122.90267236988682,100
MY,3.7255884257737155,109.6981484486297,100
BN,4.690250542520635,114.91510877393951,100
SI,46.12542205901039,14.938152320795732,100
FI,64.50409403963651,26.211764610296353,100
SK,48.7267113517275,19.507657147433708,100
CZ,49.775245294369,15.334558102365815,100
ER,15.427276751412931,38.67818692786484,100
JP,37.66311081170466,138.06496213270776,100
PY,-23.248041946292087,-58.387387833505706,100
YE,15.913231950143004,47.535044758543485,100
SA,24.123289839105293,44.51636376826477,100
AQ,-80.49198288284343,20.571000569842635,100
CY,34.90706085094344,33.03955380295407,100
MA,29.885394698302058,-8.420479544549693,100
EG,26.50661999974957,29.844461513124415,100
LY,26.997460407020338,17.974352779160352,100
ET,8.653999188132575,39.551255792937745,100
DJ,11.773044395533926,42.4980197360445,100
UG,1.2954855035097297,32.35755031998686,100
RW,-2.0135144658341346,29.91896392224289,100
BA,44.1807677629747,17.816883270390086,100
MK,41.60592964714007,21.697903375280845,100
RS,44.23303653365162,20.819651926382583,100
ME,42.78903960655908,19.2861817215929,100
XK,42.579367131816994,20.895355721342227,100
TT,10.428237089201879,-61.33036691444967,100
SS,7.292890133516845,30.198617582461907,100
